OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
583,D0297,GORDON THOMSON PARK,B-RE-2025,59,ROSEBERY TERRACE,CHELMER,4068,152.975487739814,-27.509668712219,985.987462419042,34440.4284207136
584,D0298,QUEENSCROFT STREET PARK (NO. 112),B-RE-2024,112,QUEENSCROFT STREET,CHELMER,4068,152.978928850437,-27.5109421478091,390.525486495038,7449.32405079629
585,D0299,CHELMER RECREATION RESERVE,B-RE-2023,83,OXLEY ROAD,CHELMER,4068,152.974796149975,-27.5128345673704,1292.05366626207,91870.0822850939
586,D0300,GRACEVILLE MEMORIAL PARK,B-RE-2022,173,OXLEY ROAD,GRACEVILLE,4075,152.976414426034,-27.5176138308635,1148.33533058115,66285.8194994997
587,D0301,CHELMER CHILDRENS PLAYGROUND PARK,B-RE-2021,68,PARK DRIVE,GRACEVILLE,4075,152.980140635122,-27.5173371723714,163.764505767681,1454.56662291341
588,D0303,GRACEVILLE AVENUE PARK,B-RE-2020,223,GRACEVILLE AVENUE,GRACEVILLE,4075,152.993742375439,-27.5254602880575,1587.7897159113,82515.123325924
589,D0304,STRICKLAND TERRACE PARK,B-RE-2019,11,STRICKLAND TERRACE,SHERWOOD,4075,152.989938529719,-27.5286209139988,1674.14581619812,50568.5871179649
590,D0305,SHERWOOD ARBORETUM,B-RE-2018,87,JOLIMONT STREET,SHERWOOD,4075,152.973941022847,-27.5313926736957,1912.5149823435,158419.157455579
591,D0307,HORACE WINDOW RESERVE,B-RE-2017,11,DEVANEY LANE,CORINDA,4075,152.973921443142,-27.5371671847346,1360.18276091955,26378.1264078888
592,D0308,FRANCIS OUTLOOK PARK,B-RE-2016,157,DEWAR TERRACE,CORINDA,4075,152.976418832662,-27.536803301553,262.223810641287,4064.56851026389
593,D0310,HIVES PARK,B-RE-2015,63,PRIMROSE STREET,SHERWOOD,4075,152.980425512401,-27.5347132904168,637.732762848573,10888.372727766
594,D0311,NOSWORTHY PARK,B-RE-2014,2,HALL AVENUE,CORINDA,4075,152.987991159532,-27.5399361665545,1077.44867793008,47320.2464441463
595,D0312,BENARRAWA RESERVE,B-RE-2013,68,GRAY AVENUE,CORINDA,4075,152.986637425265,-27.5426645911406,1213.58563378501,30179.326108363
596,D0313,FIFTEEN MILE CORNER,B-RE-2012,19,TEESDALE STREET,CORINDA,4075,152.973665725183,-27.5451396295355,286.537556664618,4884.29005742836
597,D0314,BLACKHEATH ROAD PARK,B-RE-2011,154,BLACKHEATH ROAD,CORINDA,4075,152.969776491705,-27.5454310900106,579.184471421341,11715.8107480404
598,D0315,V.MCN.PEACHEY PARK,B-RE-2010,14,HENDERSON STREET,OXLEY,4075,152.974094607983,-27.54921939252,281.631404428001,3034.99339879473
599,D0316,DUNLOP PARK,B-RE-2009,44,TURNER STREET,CORINDA,4075,152.982548465612,-27.5468348999959,1741.16897046312,83318.3354944423
600,D0317,NIXON PARK,B-RE-2008,929,OXLEY ROAD,OXLEY,4075,152.978279570345,-27.5521892726006,764.746259391789,23004.3297596684
601,D0318,GLADSTONE STREET PARK (NO. 14-18),B-RE-2007,33,LINCOLN STREET,OXLEY,4075,152.978044808001,-27.55595882284,913.448631777155,25860.4400256782
602,D0319,ED KUEPPER PARK,B-RE-2006,1052,OXLEY ROAD,OXLEY,4075,152.979839263,-27.5572380799999,1983.54165832009,55982.5527695038
603,D0320,TOM O'NEIL PARK,B-RE-2005,1079,OXLEY ROAD,OXLEY,4075,152.974880809286,-27.5601769523324,2746.96063252571,112446.221425242
604,D0321,LUCOCK PLACE PARK,B-RE-1935,16,STEPHENSON STREET,OXLEY,4075,152.970670091092,-27.5604693479236,160.745657112216,1514.7515467497
605,D0322,CLIVEDEN AVENUE RESERVE,B-RE-1934,449,CLIVEDEN AVENUE,OXLEY,4075,152.991923753507,-27.5514632221731,387.680433747915,9300.55629788263
606,D0323,OXLEY PLACE PARK,B-RE-1933,1218,OXLEY ROAD,OXLEY,4075,152.979758307446,-27.5647523434048,132.847814570055,1134.33209860846
607,D0324,RIKKI BAILEY PARK,B-RE-1932,224,ENGLEFIELD ROAD,OXLEY,4075,152.966122541006,-27.5621292547382,2202.73536855854,80125.0444497116
608,D0325,DARRA RECREATION RESERVE,B-RE-1931,2772,IPSWICH ROAD,DARRA,4076,152.953639477047,-27.5756114351504,641.898367988486,21595.0288983685
609,D0326,SHAFIK TORBEY PARK,B-RE-1930,56,WINSLOW STREET,DARRA,4076,152.955702119316,-27.5696062207166,282.981864677035,4521.83862421137
610,D0327,DUCIE STREET PARK,B-RE-1929,75,EBRINGTON STREET,DARRA,4076,152.95000102618,-27.572445963649,1076.52292385195,58198.7498142342
611,D0329,MONIER ROAD PARK (NO. 44-84),B-RE-1928,52,MONIER ROAD,DARRA,4076,152.958353887634,-27.5580470036466,1771.31474301744,133652.305083238
612,D0330,APPOLINE STREET PARK,B-RE-1927,241,ENGLEFIELD ROAD,OXLEY,4075,152.96464810656,-27.5591268856757,437.741021936459,10751.2405867848
613,D0331,ATTHOWS PARK,B-RE-1926,23,SUMNERS ROAD,DARRA,4076,152.945539931325,-27.5599669516591,1416.30091091474,107872.698064029
614,D0332,JINDALEE MUN GOLF LINKS PARK,B-RE-1925,232,SINNAMON ROAD,JINDALEE,4074,152.94449859598,-27.535729768457,4797.21241541024,187570.072108647
615,D0333,ELINGA STREET PARK,B-RE-1924,19,ELINGA STREET,JINDALEE,4074,152.938971779966,-27.5327571217976,204.410900051648,1086.6695451027
616,D0334,JINDALEE PARK,B-RE-1923,89,BURRENDAH ROAD,JINDALEE,4074,152.938559199959,-27.5290528191271,1838.16647043325,54579.9755309708
617,D0335,PIONEER BELZ PARK,B-RE-1922,303,CENTENARY HIGHWAY,JINDALEE,4074,152.945545390599,-27.5296258464495,689.073666156814,8192.24890019341
618,D0337,JINDALEE RECREATION RESERVE,B-RE-1921,77,CURRAGUNDI ROAD,JINDALEE,4074,152.934445891817,-27.5327846413551,703.416784516497,23571.5988394102
619,D0338,JINDALEE BOAT RAMP PARK,B-RE-1920,99,MT OMMANEY DRIVE,JINDALEE,4074,152.928983469,-27.529612519,1347.24965978037,36752.8945933974
620,D0339,M. Z. HOLLAND MEMORIAL PARK,B-RE-1919,57,MONTEREY STREET,WACOL,4076,152.921461534748,-27.5926563700682,293.539491717132,4039.1278416649
621,D0340,JAMBOREE PARK,B-RE-1918,18,GUIDE STREET,JAMBOREE HEIGHTS,4074,152.932929154893,-27.5587322353014,286.206563713954,4726.78155410191
622,D0342,SOUTH BRISBANE RIVERSIDE LANDS PARK,B-RE-1912,151A,JANE STREET,WEST END,4101,153.007147441,-27.4748064199999,2635.26212913285,23186.84199252
623,D1904,PHILLIPS PLACE PARK,B-RE-0594,11,PHILLIPS PLACE,WAKERLEY,4154,153.143147542,-27.484666224,1989.46776519507,64014.7832431455
624,D1905,CHURCH STREET PARK,B-RE-0593,21,EAST STREET,FORTITUDE VALLEY,4006,153.03706793,-27.4546246789999,339.178622670415,1582.05509060007
625,D1906,ROSENEATH DRIVE PARK,B-RE-0592,133,GREENWAYS ESPLANADE,PARKINSON,4115,153.026951255004,-27.638021905122,300.668963736354,5152.91555101055
626,D1907,DOYLE PLACE PARK (NO. 29),B-RE-0591,29,DOYLE PLACE,THE GAP,4061,152.931280602106,-27.4558760935343,225.024155384858,1611.89618115614
627,D1908,ALBANY CREEK ROAD PARK (NO. 245),B-RE-0590,245,ALBANY CREEK ROAD,BRIDGEMAN DOWNS,4035,153.001780969287,-27.3573286625678,920.274835666048,24704.5046987585
628,D1909,DASYURE PLACE PARK,B-RE-0589,47,DASYURE PLACE,WYNNUM WEST,4178,153.151148878764,-27.461543681299,364.917406219365,7290.85980987111
629,D1910,KENILWORTH PLACE PARK,B-RE-0588,67,KENILWORTH PLACE,CARINDALE,4152,153.122824682905,-27.5220562883203,124.715716176668,787.655218150953
630,D1911,ALDERBURY PLACE PARK,B-RE-0587,32,KENILWORTH PLACE,CARINDALE,4152,153.120710221917,-27.5206862089831,402.855556448607,7946.39326675807
631,D1912,PACIFIC PARADE PARK (NO. 47),B-RE-0586,47,PACIFIC PARADE,FOREST LAKE,4078,152.97865892113,-27.6248712858735,306.559976671516,1966.54417720078
632,D1913,PARK AVENUE PARK,B-RE-0585,15,PARK AVENUE,ASHGROVE,4060,153.001756933182,-27.4418286675008,130.047946233605,1129.12815014089
633,D1914,COLLEGE ROAD PARK,B-RE-0584,66,COLLEGE ROAD,KARANA DOWNS,4306,152.811589488,-27.551890629,1978.76212902902,22710.8729783485
